given_sentiment,given_sentiment_confidence,given_negative_reason,given_negative_reason_confidence,airline,retweet_count,tweet,sia_sentiment,sia_sentiment_confidence,bert_sentiment,bert_sentiment_confidence,roberta_sentiment,roberta_sentiment_confidence,distilbert_sentiment,distilbert_sentiment_confidence,ensemble_sentiment,ensemble_sentiment_confidence
negative,1.0,Late Flight,1.0,United,0,united hr delay start huge queue security representative meet u rude staff baggage reclaim inefficient,positive,0.344,negative,0.9777781367301941,negative,0.9203022122383118,positive,0.4033198654651642,negative,1.0
negative,1.0,Flight Attendant Complaints,1.0,United,0,united worst attendant angry drunk aunt everything argument,negative,0.68,negative,0.9804598093032837,negative,0.9376791715621948,negative,0.8596975207328796,negative,1.0
negative,1.0,Cancelled Flight,1.0,United,0,united black white eu law cancelled flightled want money,positive,0.339,negative,0.8584903478622437,negative,0.8376293182373047,negative,0.5965719819068909,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united accordingly u dont respond,positive,0.483,neutral,0.5498495697975159,negative,0.7435373067855835,positive,0.57658451795578,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united extra care airline unitedairlines dont care trust customerservice non existent dont,positive,0.462,negative,0.980796217918396,negative,0.9142099022865295,positive,0.496328741312027,negative,1.0
negative,1.0,Late Flight,0.6808,United,0,united another unfortunate case bad luck usually maintenance issue now swapping plane ont late,negative,0.291,negative,0.9729111194610596,negative,0.8900157809257507,negative,0.7703157663345337,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united shame great customer service wasnt continued sfo slightly absurd,positive,0.406,negative,0.9400890469551086,negative,0.9024693965911865,positive,0.45815104246139526,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united onlyinamerica day word unitedairlines customerservices bad pr guy,negative,0.263,negative,0.9771998524665833,negative,0.9275757074356079,negative,0.6959076523780823,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united still awaiting reply ur customer service day response lousy unitedairlines,negative,0.229,negative,0.9795692563056946,negative,0.9327552914619446,negative,0.43859773874282837,negative,1.0
positive,1.0,,,United,0,united alright thank much appreciated,positive,0.914,positive,0.9782152771949768,positive,0.939269483089447,positive,0.9140840768814087,positive,1.0
negative,1.0,Late Flight,0.3341,United,0,united happened airline theyve given voucher transparent problem,neutral,0.522,negative,0.9233823418617249,neutral,0.7489220499992371,negative,0.5944138765335083,negative,1.0
negative,0.6882,Customer Service Issue,0.3548,United,0,united thanks im booked spent extra hr ten w explanation now flying middle seat char instead memphis,positive,0.289,positive,0.5244603157043457,neutral,0.6475870609283447,positive,0.6974294185638428,negative,0.6882
negative,1.0,Lost Luggage,0.3616,United,0,united agent rick clifton seahou told father dying needed handbag cabin nothing shameful,positive,0.33,negative,0.9076294302940369,negative,0.6370604038238525,negative,0.5599545836448669,negative,1.0
neutral,1.0,,,United,0,united chance allowing reflight booking problem yet travel denver weekend due impending storm,positive,0.274,negative,0.7167969942092896,negative,0.7693415284156799,negative,0.456984281539917,neutral,1.0
negative,1.0,Can't Tell,0.6684,United,0,watched crew escorted back st class prebooked really united jenniferwalshpr dissatisfaction und,negative,0.209,negative,0.8799811005592346,neutral,0.8025516867637634,negative,0.6483802795410156,negative,1.0
positive,1.0,,,United,0,united thanks yup im set happens slc ground staff prompt helpful courteous,positive,0.596,positive,0.9850270748138428,positive,0.9409274458885193,positive,0.6824870705604553,positive,1.0
negative,1.0,Flight Booking Problems,0.3404,United,0,plenty empty seat coach united dissatisfaction understood crew member traveling duty prebooked f,negative,0.298,negative,0.946739912033081,negative,0.7548696994781494,negative,0.6664365530014038,negative,1.0
negative,0.6777,Can't Tell,0.6777,United,0,united good didnt die anything say pay,positive,0.668,positive,0.7067942023277283,neutral,0.49913284182548523,positive,0.6486014127731323,negative,0.6777
positive,1.0,,,United,0,united thank much able contact,positive,0.639,positive,0.7604126334190369,positive,0.8139047622680664,positive,0.8218114376068115,positive,1.0
positive,0.6608,,,United,0,united maybe return trip,positive,0.483,neutral,0.8714573383331299,neutral,0.8739057183265686,positive,0.5610533952713013,neutral,0.8739057183265686
negative,1.0,Flight Attendant Complaints,0.6262,United,0,united staff laguardia lagos nigeria unprofessional uncaring helpful ou,positive,0.376,negative,0.9780970215797424,negative,0.9096981883049011,positive,0.6001914739608765,negative,1.0
positive,1.0,,,United,0,united got gate thanks checking,positive,0.655,positive,0.5950778722763062,neutral,0.5353865027427673,positive,0.649338960647583,positive,1.0
negative,1.0,Late Flight,1.0,United,0,united u kept passenger waiting night plane put service leaving everyone stranded night inexcusable,positive,0.189,negative,0.976961076259613,negative,0.9375830292701721,negative,0.45419061183929443,negative,1.0
positive,0.6452,,0.0,United,0,united especially upgraded three crew member first class instead passenger keepitclassy customerservice,positive,0.203,positive,0.7081742286682129,negative,0.8453288078308105,positive,0.5789045691490173,positive,0.7081742286682129
neutral,0.6383,,,United,0,united hello got month ago constantly think peanut anyway send,positive,0.237,neutral,0.9666991233825684,neutral,0.681456446647644,negative,0.7407000064849854,neutral,0.9666991233825684
negative,1.0,Bad Flight,0.3507,United,0,united flt lax ewr pilot bragged getting ewr early wait min jetway driver thanks united,positive,0.415,neutral,0.45891258120536804,neutral,0.5956712961196899,positive,0.6596776843070984,negative,1.0
negative,1.0,Customer Service Issue,0.6517,United,0,united happy found phone easily worst system heard,positive,0.524,negative,0.9726001024246216,negative,0.922336220741272,negative,0.45797184109687805,negative,1.0
negative,1.0,Late Flight,1.0,United,0,really hour united jenniferwalshpr dont delay avoid well way asap,positive,0.47,neutral,0.7891420125961304,neutral,0.6717976331710815,positive,0.48204272985458374,negative,1.0
negative,1.0,Customer Service Issue,0.6547,United,0,united robbogart waited hour airport told one fib cant ual honest customer,neutral,0.645,negative,0.9599586129188538,negative,0.9137071967124939,positive,0.5316547155380249,negative,1.0
neutral,1.0,,,United,0,united round trip,positive,0.583,neutral,0.9369853734970093,neutral,0.8523914813995361,positive,0.655630886554718,neutral,1.0
negative,1.0,Lost Luggage,1.0,United,0,united well yet checked bag already vanished havent left airport yet,positive,0.353,negative,0.8739750385284424,negative,0.5615959167480469,negative,0.4725687801837921,negative,1.0
neutral,0.6267,,,United,0,united thanks tonight seem httptcowndceoqlk,positive,0.655,positive,0.9688012599945068,positive,0.806636393070221,positive,0.7905434966087341,positive,0.9688012599945068
negative,1.0,Can't Tell,0.6705,United,0,united rapid trip plane ticket idaho california doesnt problem wonderful,positive,0.336,positive,0.9672141671180725,positive,0.8080106377601624,negative,0.4610596001148224,negative,1.0
negative,0.5918,Customer Service Issue,0.5918,United,0,united agent help point there problem amp dont want mess somebody el plan u flow tech team pls,positive,0.374,neutral,0.5508326292037964,negative,0.7802717089653015,negative,0.41474831104278564,negative,0.7802717089653015
negative,1.0,Late Flight,0.698,United,0,united delayed hour one hour frustrating im unable decent meal hournever,negative,0.308,negative,0.9799872040748596,negative,0.9443172216415405,negative,0.7414724826812744,negative,1.0
positive,1.0,,,United,0,united please went beyond made u number one priority,positive,0.561,neutral,0.9010381102561951,positive,0.7381991744041443,positive,0.6041566133499146,positive,1.0
positive,1.0,,,United,0,united guy awesome thanks,positive,0.907,positive,0.9856141209602356,positive,0.9756242036819458,positive,0.9729434847831726,positive,1.0
positive,0.6832,,,United,0,united thnx,positive,0.737,neutral,0.6390502452850342,positive,0.6600496768951416,positive,0.5886191129684448,positive,0.6832
negative,0.6635,Can't Tell,0.6635,United,0,united think status nothing think bug search system,positive,0.286,neutral,0.4993216097354889,negative,0.7773861289024353,neutral,0.505974531173706,negative,0.7773861289024353
positive,1.0,,,United,0,united anna palm spring gate deserves medal handled ppl missing flight pro,positive,0.345,neutral,0.6655847430229187,neutral,0.5010392665863037,positive,0.4086422324180603,positive,1.0
negative,1.0,Cancelled Flight,1.0,United,0,united appreciate answer werent alerted cancelled flighted plane landed showsomerespect,positive,0.508,neutral,0.84013831615448,negative,0.7045565247535706,negative,0.5028562545776367,negative,1.0
negative,1.0,Late Flight,1.0,United,0,united wtf delay delay hour yvr san unacceptable crew availability blame never united,negative,0.543,negative,0.9783278107643127,negative,0.9391860365867615,negative,0.46048808097839355,negative,1.0
negative,0.6481,Lost Luggage,0.6481,United,0,united think left phone help,positive,0.647,neutral,0.9486624002456665,neutral,0.7431913018226624,positive,0.6100866794586182,neutral,0.9486624002456665
positive,1.0,,,United,0,united great customer service thanks,positive,0.831,positive,0.989875078201294,positive,0.9714763760566711,positive,0.9621483683586121,positive,1.0
positive,1.0,,,United,0,united thanks awesome,positive,1.0,positive,0.9696290493011475,positive,0.9748681783676147,positive,0.9718045592308044,positive,1.0
negative,1.0,Customer Service Issue,0.6809,United,0,united hey left computer bag wcomputer inside united filed online report response,positive,0.359,neutral,0.967184841632843,neutral,0.6239028573036194,positive,0.38828548789024353,negative,1.0
negative,0.7067,Bad Flight,0.7067,United,0,united empty upon takeoff cant someone sit,positive,0.292,negative,0.6391487717628479,negative,0.7925545573234558,negative,0.39538249373435974,negative,0.7925545573234558
negative,1.0,Customer Service Issue,1.0,United,0,united case id requested now day ill response b,neutral,0.517,neutral,0.974314272403717,neutral,0.8724803328514099,negative,0.46630987524986267,negative,1.0
positive,0.6681,,0.0,United,0,united nawww united fave airline,positive,0.81,positive,0.9357307553291321,positive,0.8556700944900513,positive,0.5644615292549133,positive,0.9357307553291321
negative,0.6566,Lost Luggage,0.6566,United,0,united thanks formed submitted im betting someone honest enough turn though,positive,0.529,neutral,0.7660732865333557,neutral,0.6036831140518188,positive,0.6264158487319946,neutral,0.7660732865333557
neutral,0.6735,,0.0,United,0,united lh return business ticket den fraif fly domestic youbag checked frano need claim,positive,0.177,neutral,0.9783838391304016,neutral,0.8943723440170288,positive,0.47794806957244873,neutral,0.9783838391304016
neutral,1.0,,,United,0,united united phone representative asked web password normal,positive,0.483,neutral,0.9596526622772217,neutral,0.8651604056358337,positive,0.4338814318180084,neutral,1.0
negative,0.6937,Flight Booking Problems,0.6937,United,0,united difference booked flight want screen shot,positive,0.451,neutral,0.9644920825958252,neutral,0.850130558013916,positive,0.5302814841270447,neutral,0.9644920825958252
neutral,0.6804,,0.0,United,0,united plan reduce delay,positive,0.394,neutral,0.9347301721572876,neutral,0.8137509822845459,positive,0.5168783068656921,neutral,0.9347301721572876
neutral,0.6175,,0.0,United,0,united im searching flight redeem mile getting different search result user account reason,positive,0.189,neutral,0.9382047653198242,negative,0.5027803778648376,positive,0.5846132040023804,neutral,0.9382047653198242
negative,0.922,Customer Service Issue,0.4513,United,0,united rebooked hour original say handling situation bad understatement,positive,0.349,negative,0.969050943851471,negative,0.8962742686271667,negative,0.6419910788536072,negative,0.969050943851471
negative,1.0,Flight Attendant Complaints,0.6609999999999999,United,0,united supervisor talk now waiting attendant one walked amp left httptcoipaamztz,positive,0.219,neutral,0.9765856266021729,neutral,0.8767005205154419,positive,0.5026860237121582,negative,1.0
neutral,0.6591,,0.0,United,0,united whats phone number customer service question,positive,0.451,neutral,0.962909996509552,neutral,0.799686074256897,positive,0.5366455316543579,neutral,0.962909996509552
neutral,0.6815,,0.0,United,0,united kid left kindle fire hd onboard ua ordsfo today row abcdef whole row amongst u help,positive,0.263,neutral,0.8997807502746582,negative,0.6377800703048706,positive,0.5256346464157104,neutral,0.8997807502746582
negative,0.6726,Customer Service Issue,0.3429,United,0,united understanding situation waited opened pm,positive,0.359,neutral,0.9241153597831726,neutral,0.7560784220695496,positive,0.6955013275146484,neutral,0.9241153597831726
positive,1.0,,,United,0,united battierccipuppy hope see board soon thanks tweet ey,positive,0.589,positive,0.949960470199585,positive,0.7785621285438538,positive,0.7862741351127625,positive,1.0
negative,1.0,Customer Service Issue,1.0,United,0,united curious going finally learn customerservice,positive,0.56,neutral,0.7273070216178894,neutral,0.712243378162384,positive,0.6715485453605652,negative,1.0
negative,0.6687,Late Flight,0.6687,United,0,united nice see u sense humor hourdelay want b home ill settle beer safely air course,positive,0.53,positive,0.9159289598464966,positive,0.9186726808547974,positive,0.8768935799598694,positive,0.9186726808547974
neutral,0.6565,,0.0,United,0,united surprised go last year nothing year happened soft landing policy level,positive,0.32,negative,0.6918337345123291,negative,0.5302056074142456,positive,0.42894861102104187,neutral,0.6565
neutral,1.0,,,United,0,united pay person portland airport flying perth done u air,positive,0.25,neutral,0.9708657264709473,neutral,0.8294647336006165,positive,0.474582701921463,neutral,1.0
negative,0.6679999999999999,Cancelled Flight,0.6679999999999999,United,0,united service desk gate helped u find u dest time got cancelled flightled,positive,0.203,neutral,0.8816148638725281,neutral,0.5974050164222717,negative,0.4752759337425232,neutral,0.8816148638725281
negative,1.0,Customer Service Issue,0.6563,United,0,united thanks answer question want make reservation phone perth hold hr family,positive,0.437,neutral,0.6813874840736389,neutral,0.619742751121521,positive,0.6783434152603149,negative,1.0
negative,1.0,Cancelled Flight,1.0,United,0,united wasnt delay much straight cancelled flightlation weather wasnt issue either,positive,0.309,neutral,0.7173271179199219,neutral,0.5046393275260925,negative,0.5299410223960876,negative,1.0
negative,1.0,Late Flight,1.0,United,0,united thanks ruining wedding anniversary ua ewr rdu delayed hour reach home nxt day,positive,0.345,negative,0.9800419211387634,negative,0.9130820631980896,positive,0.7763121724128723,negative,1.0
negative,1.0,Cancelled Flight,1.0,United,0,united cancelled flightled unknown reason havent really given anything make overnight layover tolerable,positive,0.177,negative,0.9779125452041626,negative,0.8852542042732239,negative,0.5552846193313599,negative,1.0
negative,0.6776,Late Flight,0.6776,United,0,united difference responsible position something learn delta,positive,0.505,neutral,0.960767388343811,neutral,0.7401896715164185,positive,0.5763416886329651,neutral,0.960767388343811
negative,1.0,Cancelled Flight,0.6871,United,0,united yes rebooked im losing trust want anywhere time,positive,0.605,negative,0.9744889140129089,negative,0.8957974910736084,negative,0.5452045202255249,negative,1.0
positive,1.0,,,United,0,united thanks keep good work,positive,0.811,positive,0.9852766394615173,positive,0.9578472971916199,positive,0.9515835046768188,positive,1.0
positive,1.0,,,United,0,united reflight booking problem last day time united wait time lt second kudos excellent customer service,positive,0.479,negative,0.36783838272094727,neutral,0.4375576674938202,positive,0.651466429233551,positive,1.0
negative,0.6455,Can't Tell,0.6455,United,0,united solution,positive,1.0,neutral,0.7395325303077698,neutral,0.6339443325996399,positive,0.6752943992614746,neutral,0.7395325303077698
neutral,1.0,,,United,0,united mind,positive,0.737,neutral,0.8162351846694946,neutral,0.6239144802093506,positive,0.7610771059989929,neutral,1.0
negative,1.0,Late Flight,0.7113,United,0,united im evry st take w delayed amp evry nd time missed evry time lastflightofthenight breakup,negative,0.217,negative,0.666450560092926,negative,0.8951508402824402,negative,0.41067948937416077,negative,1.0
negative,1.0,Customer Service Issue,0.7008,United,0,united submit complaint line never heard back dont id find,positive,0.215,negative,0.9464766383171082,negative,0.8217929601669312,negative,0.4340774416923523,negative,1.0
negative,0.6908,Flight Attendant Complaints,0.3477,United,0,united cool customer told didnt care either expected,positive,0.401,negative,0.576059103012085,positive,0.5234031677246094,positive,0.49880409240722656,negative,0.6908
negative,1.0,Can't Tell,0.6633,United,0,united freaking worthless hate airline httptcodnifcgwe,negative,0.662,negative,0.9829548001289368,negative,0.9573200345039368,negative,0.8134392499923706,negative,1.0
negative,1.0,Late Flight,1.0,United,0,united u leave ord time week shameful,negative,0.431,negative,0.9768595099449158,negative,0.8584774136543274,negative,0.6882562041282654,negative,1.0
negative,1.0,Late Flight,0.6286,United,0,united missed daughter suppose dpt ord pm dpted pm checked week average ua shameful day average pm,negative,0.243,negative,0.967674195766449,negative,0.8741503357887268,negative,0.5161266922950745,negative,1.0
neutral,0.6799,,0.0,United,0,united understand pilot plane st class empty coach seat near im premier,positive,0.192,neutral,0.9395235180854797,negative,0.48856326937675476,negative,0.3729015588760376,neutral,0.9395235180854797
negative,1.0,Cancelled Flight,0.6594,United,0,united fantastic night waiting hour delayed airplane alert u cancelled flighted land whatstatus,positive,0.441,negative,0.8082659840583801,negative,0.8913561701774597,positive,0.6606703400611877,negative,1.0
neutral,1.0,,,United,0,united someone airport portland buy ticket picked used day late flightr perth australia thanks,positive,0.322,neutral,0.8893405795097351,neutral,0.8214154243469238,positive,0.7606062889099121,neutral,1.0
negative,1.0,Late Flight,0.6629,United,0,united delta lax compensated rental car,positive,0.359,neutral,0.9592294096946716,neutral,0.5686176419258118,positive,0.6355934739112854,negative,1.0
neutral,1.0,,,United,0,united happens spooky m spook much scare,negative,0.32,neutral,0.9265191555023193,neutral,0.6864520907402039,negative,0.6824600100517273,neutral,1.0
negative,1.0,Late Flight,1.0,United,0,united missed set hotel flight delayed sfo hour missing wedding festivity friend,positive,0.428,negative,0.9572625756263733,negative,0.8777952194213867,negative,0.4095239043235779,negative,1.0
positive,1.0,,,United,0,united sent confirmation via dm thank much,positive,0.515,positive,0.8878791928291321,positive,0.8784453272819519,positive,0.7574031352996826,positive,1.0
negative,1.0,Customer Service Issue,0.6705,United,0,united board customer onto plane pilot thing expedited time line book new come now,positive,0.177,neutral,0.9496949315071106,neutral,0.570087730884552,positive,0.389932245016098,negative,1.0
positive,0.6679999999999999,,,United,0,united great u,positive,1.0,positive,0.983347475528717,positive,0.9195355176925659,positive,0.9444912672042847,positive,0.983347475528717
negative,1.0,Late Flight,0.6669,United,0,united stuck tarmac last hour beer,positive,0.318,negative,0.5531776547431946,negative,0.8936423063278198,positive,0.5822548270225525,negative,1.0
negative,1.0,Customer Service Issue,0.6669,United,0,united recent service bad nc trip aweful disappointed never,negative,0.429,negative,0.9816573858261108,negative,0.9364477396011353,negative,0.8461822271347046,negative,1.0
negative,0.6771,longlines,0.3537,United,0,united freezing gate bridgewaitingforbagsunitedewr,positive,0.452,neutral,0.8195620179176331,neutral,0.49680522084236145,positive,0.6588104963302612,neutral,0.8195620179176331
negative,1.0,Late Flight,0.346,United,0,united landed pm standing waiting bag loaded plane sidewhy isnt crew heretiredcustomer,positive,0.203,negative,0.9023065567016602,negative,0.7580125331878662,positive,0.43495485186576843,negative,1.0
negative,0.6866,Late Flight,0.6866,United,0,united dmbshows need plane buffalo leave tonight progress,positive,0.475,neutral,0.963325560092926,neutral,0.9013344645500183,positive,0.5117606520652771,neutral,0.963325560092926
negative,1.0,Late Flight,0.6747,United,0,united rebooked nice wait extra min airport make right,positive,0.444,positive,0.9271016120910645,positive,0.8737576603889465,positive,0.8437085151672363,negative,1.0
negative,1.0,Customer Service Issue,0.6704,United,0,united enough already poor service old plane ridiculous routing time find new airline status match,negative,0.275,negative,0.9791903495788574,negative,0.9303426146507263,negative,0.7149765491485596,negative,1.0
negative,1.0,Late Flight,0.68,United,0,united waiting hour finally board airplane find call maintenance plane cold,positive,0.219,negative,0.8082509636878967,negative,0.7237139344215393,negative,0.3915511965751648,negative,1.0
negative,1.0,Damaged Luggage,1.0,United,0,united broke suitcase amp refuse give repair estimate httptcozouowgvq,negative,0.362,negative,0.9587858319282532,negative,0.8537628650665283,negative,0.39337271451950073,negative,1.0
negative,1.0,Flight Attendant Complaints,0.6769,United,0,united scheduled crew competent person working airline,positive,0.505,positive,0.7121968865394592,neutral,0.516739547252655,positive,0.6279171705245972,negative,1.0
negative,1.0,Late Flight,0.68,United,0,united help chicago gate freezing runway seems crappy thing pm,positive,0.333,negative,0.9707075357437134,negative,0.9011068940162659,positive,0.6635677218437195,negative,1.0
neutral,0.6831,,,United,0,united hiltonworldwide caravannyc maysvillenyc let go join first trip back nycas tourist httptcoegaejtrglb,positive,0.312,neutral,0.7226290702819824,neutral,0.9021546244621277,positive,0.5577919483184814,neutral,0.9021546244621277
negative,1.0,Customer Service Issue,1.0,United,0,united thanks kp whats going w tonight bad update online phone cant u give customer good info waste time,negative,0.33,negative,0.9769994616508484,negative,0.9294471144676208,negative,0.6251221299171448,negative,1.0
positive,1.0,,,United,0,united got lost kindle mail thanks,positive,0.518,negative,0.9182999134063721,neutral,0.47516992688179016,positive,0.415987104177475,positive,1.0
neutral,1.0,,,United,0,united z d code airfare refundable,positive,0.483,neutral,0.9721578359603882,neutral,0.7669423818588257,negative,0.4698663353919983,neutral,1.0
neutral,0.6809,,0.0,United,0,united didnt notice start boarding assumed e time boarding started gas cleared standby full flt,positive,0.259,neutral,0.9158642888069153,neutral,0.8375669121742249,positive,0.37111395597457886,neutral,0.9158642888069153
negative,0.687,Late Flight,0.687,United,0,united knew delayed mht alb ewr crew arrival late flightr departure update site,positive,0.178,neutral,0.8249814510345459,negative,0.5381481051445007,positive,0.38419055938720703,negative,0.687
negative,1.0,Customer Service Issue,1.0,United,0,united wtf cant update time timely manner youve known fight delayed ur service awful cnn,negative,0.469,negative,0.9810839295387268,negative,0.9486615657806396,positive,0.44461777806282043,negative,1.0
neutral,1.0,,,United,0,united want book multicity fare mile flight option pay st mile nd ump visa thanks,positive,0.361,neutral,0.8587030172348022,neutral,0.6554686427116394,positive,0.7174772024154663,neutral,1.0
negative,1.0,Late Flight,0.6845,United,0,united waiting plane long missed connecting left early thats last tonight help httptcohbsjsfh,positive,0.311,negative,0.9141625761985779,negative,0.7821462154388428,positive,0.5386138558387756,negative,1.0
negative,1.0,Flight Attendant Complaints,0.3407,United,0,united ord gate c flt remember customer valuable hard nice someone lugging guitar amp carryons,positive,0.433,positive,0.934759795665741,positive,0.755002498626709,positive,0.8512025475502014,negative,1.0
negative,1.0,Customer Service Issue,0.6768,United,0,united worst service denied access moved time hard schedule gate delta next time,negative,0.416,negative,0.9816616177558899,negative,0.9374155402183533,negative,0.8679871559143066,negative,1.0
negative,1.0,Lost Luggage,1.0,United,1,united im denver bag san jose see something wrong,negative,0.24,negative,0.9506446123123169,neutral,0.5021039247512817,negative,0.6354710459709167,negative,1.0
negative,1.0,Late Flight,1.0,United,0,united know bad youre praying connecting delayed hour delay first justgetmehome,negative,0.405,negative,0.9607979655265808,negative,0.9188087582588196,negative,0.9125187397003174,negative,1.0
negative,1.0,Can't Tell,0.3587,United,0,united playing hide seek gate cant find minute,positive,0.407,neutral,0.6077347993850708,negative,0.6638456583023071,positive,0.49981629848480225,negative,1.0
negative,0.7141,Late Flight,0.7141,United,0,united ord delayed air force one last sbn min now landed,positive,0.204,neutral,0.9616712331771851,neutral,0.7590829133987427,negative,0.39538833498954773,neutral,0.9616712331771851
neutral,0.6814,,,United,0,united flight really cheap whats catch,positive,0.359,positive,0.6748070120811462,neutral,0.6088786125183105,positive,0.4809746742248535,neutral,0.6814
neutral,0.6709,,0.0,United,0,united lgjwb voluntarily rerouted st leg journey economy supposed b re agent said shed reserve,positive,0.177,neutral,0.9692127704620361,neutral,0.8348404765129089,positive,0.4543492794036865,neutral,0.9692127704620361
negative,1.0,Customer Service Issue,0.6572,United,1,united hr late flightr still cant figure random text update embarrassing ua httptcovftuyjhx,positive,0.171,negative,0.9618919491767883,negative,0.9047667980194092,negative,0.5566521286964417,negative,1.0
negative,1.0,Late Flight,0.6831,United,0,united stop picking u cle httptcovtqemli,positive,0.35,negative,0.9119536876678467,negative,0.8782937526702881,positive,0.5370285511016846,negative,1.0
negative,1.0,Flight Booking Problems,0.6863,United,0,united booked sept best price april usa checked now cheaper con unhappy customer ripoff,positive,0.337,negative,0.9730629324913025,negative,0.6545706391334534,positive,0.514778196811676,negative,1.0
negative,1.0,Late Flight,1.0,United,0,united big properly manage time thing time least prepared gate land,positive,0.208,neutral,0.885131299495697,neutral,0.7783640623092651,positive,0.5570604801177979,negative,1.0
negative,1.0,Late Flight,0.6709999999999999,United,0,united id rather truth forced sit day trying home httptcoufafqhsf,positive,0.338,neutral,0.616248369216919,negative,0.5405122637748718,negative,0.5542964339256287,negative,1.0
positive,1.0,,,United,0,united leaving soon thanks,positive,0.74,neutral,0.83109050989151,positive,0.6360906362533569,positive,0.8403463363647461,positive,1.0
negative,1.0,Late Flight,1.0,United,0,united another delayed day delayed outbound delayed inbound now waiting ewr gate ready ready,positive,0.363,negative,0.931940495967865,negative,0.6478887796401978,positive,0.46529263257980347,negative,1.0
negative,1.0,Flight Booking Problems,1.0,United,0,united cancelled flighted mileage plus award reservation gc day yet see mile back despite agent confirmation,positive,0.296,negative,0.7728316783905029,negative,0.7160001397132874,negative,0.42235180735588074,negative,1.0
neutral,1.0,,,United,0,united partner booked individual reservation pr silver share premier privilege somehow,positive,0.484,neutral,0.973283052444458,neutral,0.8674459457397461,positive,0.6920892596244812,neutral,1.0
negative,1.0,Bad Flight,0.3659,United,0,united gate change minute roanoke sou fall ohare painful,neutral,0.551,negative,0.939505934715271,negative,0.5071280002593994,negative,0.5106079578399658,negative,1.0
negative,1.0,Late Flight,0.6598,United,0,united nut said ground now still albany wont plane someone compensating,positive,0.219,negative,0.8517447113990784,negative,0.6132259964942932,positive,0.4582257568836212,negative,1.0
negative,1.0,Customer Service Issue,1.0,United,1,united doumented via link now four month response suggest expect one,positive,0.219,neutral,0.9544198513031006,neutral,0.8742039799690247,positive,0.380910724401474,negative,1.0
negative,1.0,Customer Service Issue,0.7040000000000001,United,0,united yall zero concept customer service ohand now connection delayed,positive,0.22,negative,0.9807963371276855,negative,0.943697452545166,negative,0.4279066324234009,negative,1.0
negative,0.6925,Flight Attendant Complaints,0.3733,United,0,united curious youd board without pilot seems crucial process,positive,0.421,neutral,0.9441238045692444,neutral,0.771978497505188,positive,0.5874432325363159,neutral,0.9441238045692444
neutral,1.0,,,United,0,united sent dm,positive,0.583,neutral,0.957390308380127,neutral,0.794383704662323,positive,0.5226549506187439,neutral,1.0
negative,1.0,Late Flight,1.0,United,1,united changed crazy youragentshavenoclue httptcoanohokl,positive,0.341,neutral,0.8678069114685059,neutral,0.6556539535522461,positive,0.5015293955802917,negative,1.0
negative,1.0,Late Flight,1.0,United,1,united never time hour delay earlier another hour delay connecting make straight delay,positive,0.57,negative,0.938532292842865,negative,0.7982999682426453,positive,0.42497241497039795,negative,1.0
negative,1.0,Late Flight,0.6749,United,0,united bc delay now oversold passenger mess going compensate,negative,0.353,negative,0.9543710947036743,negative,0.8597742915153503,positive,0.4726760983467102,negative,1.0
negative,1.0,Late Flight,1.0,United,1,united blamed weather lol wind cloud sky delayed way x ru kidding charge lb w delay,negative,0.327,negative,0.7182242274284363,negative,0.7814700603485107,negative,0.5992910861968994,negative,1.0
negative,0.6988,Late Flight,0.3695,United,0,united worseoh cant delayed reason way lonflight cancelled flighted reason le day returning,positive,0.271,negative,0.9795325398445129,negative,0.9179484844207764,negative,0.711338222026825,negative,0.9795325398445129
negative,1.0,Can't Tell,0.6563,United,0,united gate change top really hoping compensate pointsmileage account,positive,0.562,neutral,0.7858269810676575,neutral,0.6421068906784058,positive,0.6437745690345764,negative,1.0
negative,1.0,Flight Booking Problems,0.7052,United,0,united contact others cant website work none info valid httptcozpjrkwbk,positive,0.237,negative,0.96124267578125,negative,0.82082200050354,neutral,0.3937782645225525,negative,1.0
negative,1.0,Late Flight,0.6765,United,0,united hour stuck still plane total failure partner ensuring best customer experience,positive,0.425,negative,0.9591002464294434,negative,0.9246492981910706,negative,0.46879518032073975,negative,1.0
neutral,1.0,,,United,0,united line iah iah airlinegeeks avgeek httptcodjhxvjt,positive,0.318,neutral,0.9438381791114807,neutral,0.8578795790672302,positive,0.567076563835144,neutral,1.0
negative,1.0,Cancelled Flight,0.6579999999999999,United,0,united silence telling,positive,0.583,neutral,0.9313493967056274,neutral,0.7254385948181152,positive,0.4454110562801361,negative,1.0
negative,1.0,Late Flight,1.0,United,1,united thanks hr delay ground crew landed least didnt break httptcogcwvfuopl,positive,0.356,positive,0.7819012999534607,neutral,0.6169571876525879,positive,0.4674571752548218,negative,1.0
neutral,1.0,,,United,0,united bought round trip chicago two day agotoday half way discount,positive,0.219,neutral,0.7953909635543823,neutral,0.6930972933769226,positive,0.4929652810096741,neutral,1.0
